tahun,rating,ulasan,thumbsUp
2022,1,"Ganti versi terbaru malah ga bisa masuk,, loading ga kelar kelar",5
2022,1,Ribet keluar terus dari aplikasinya...,4
2022,1,ribet login gk bisa. daftar susah aplikasi gk jelas,3
2023,1,"Setiap login salah password terus padahal password udh bener !!!! Sialan buang"" pulsa aja hrs reset ulang password berkali"" !!!!",8
2023,1,Aplikasi diperbaruin.. Malah ga bisa masuk... Verifikasi foto gagal mulu... Mempersulit sekali....!!!!!!!!,3
2023,1,"kga jelas ini update an, tiap buka selalu cek jaringan... Intinya tidak buka... Sangat menggangu aktivitas saya",3
2024,1,"Aplikasi terlalu berat, qris sering tidak terbaca, loading page akibat aplkasi yg terlalu berat, verifikasi wajah yg sering kali tidak terbaca!!!!",27
2024,1,Akun mbanking saya tiba² terkunci maksudnya apa yaa? Tolong bisa di jelaskan,18
2024,1,Knpa ya kalo masuk jakone mobile terjadi kesalahan melulu padahal sudah pakai data bukan wifi .. Susah untuk masuk ... Malah offline server nya..,9
